iter	RMSE
0	101.9838723
1	94.0087392
2	86.79801509
3	80.29998559
4	74.36463204
5	69.09627146
6	64.32906001
7	60.1555135
8	56.36945015
9	52.91952787
10	49.83762297
11	47.26975658
12	44.87136909
13	42.75483545
14	40.83611625
15	39.16302885
16	37.77513756
17	36.53931834
18	35.52226044
19	34.49565027
20	33.64475475
21	32.84196773
22	32.2384496
23	31.70752753
24	31.22054672
25	30.6643023
26	30.20742307
27	29.93214232
28	29.52028278
29	29.14556041
30	28.83604809
31	28.56172149
32	28.3379172
33	28.05795746
34	27.92274266
35	27.72055811
36	27.62606716
37	27.39980739
38	27.25937051
39	27.0469853
40	26.95657691
41	26.86587636
42	26.65556927
43	26.52430683
44	26.42354573
45	26.39881423
46	26.28266776
47	26.20773985
48	26.14036128
49	25.98766385
50	25.90185991
51	25.71759823
52	25.67448826
53	25.65280029
54	25.5837942
55	25.50623271
56	25.20181876
57	25.0740234
58	24.98580353
59	24.9412288
60	24.69472937
61	24.64311611
62	24.54068083
63	24.52020644
64	24.40623796
65	24.26790907
66	24.0545756
67	24.04778328
68	23.95422397
69	23.9426064
70	23.72459477
71	23.64635883
72	23.59871417
73	23.55310774
74	23.30049894
75	23.2863229
76	23.26444152
77	23.10839373
78	23.10090558
79	22.92568919
80	22.87941822
81	22.77227076
82	22.73873903
83	22.70540467
84	22.62682763
85	22.58583774
86	22.48856992
87	22.43164173
88	22.35952588
89	22.22207464
90	22.13420118
91	22.11353868
92	21.97942008
93	21.90510841
94	21.71924387
95	21.63443005
96	21.50386266
97	21.49917666
98	21.46721673
99	21.42757551
100	21.32694969
101	21.31130032
102	21.23282697
103	21.22064481
104	21.10179153
105	20.98598674
106	20.94808489
107	20.88565605
108	20.76116675
109	20.68193488
110	20.60108005
111	20.57800584
112	20.47785832
113	20.35247
114	20.24757335
115	20.18494171
116	20.14371745
117	20.10030242
118	20.09331651
119	19.97026519
120	19.87149422
121	19.84362767
122	19.82674877
123	19.80870939
124	19.71466682
125	19.64493977
126	19.54171677
127	19.46898449
128	19.44732143
129	19.37195267
130	19.30107087
131	19.24619497
132	19.21463269
133	19.15599866
134	19.14121556
135	19.12018415
136	19.11547332
137	19.04032039
138	19.0048196
139	18.89698033
140	18.78902933
141	18.78471843
142	18.72225796
143	18.6736097
144	18.6427651
145	18.54865429
146	18.54109967
147	18.48264278
148	18.38845054
149	18.31981663
150	18.29836194
151	18.29380962
152	18.27870773
153	18.21271084
154	18.19491735
155	18.17897053
156	18.14670724
157	18.0905396
158	18.02425804
159	17.95323858
160	17.9301976
161	17.88838466
162	17.80649901
163	17.73891667
164	17.72357336
165	17.689463
166	17.60336833
167	17.54568421
168	17.50592008
169	17.45819442
170	17.38691435
171	17.3584951
172	17.30790079
173	17.24661314
174	17.21374044
175	17.14951014
176	17.0791737
177	17.02081294
178	16.97191702
179	16.90185486
180	16.88527046
181	16.86812404
182	16.83657321
183	16.76298971
184	16.70641991
185	16.68442194
186	16.65676052
187	16.6528774
188	16.63836525
189	16.62620519
190	16.56507504
191	16.51234196
192	16.44585773
193	16.42203671
194	16.35786134
195	16.34135225
196	16.27156592
197	16.26699959
198	16.21455899
199	16.19945476
200	16.15770243
201	16.1137575
202	16.07575924
203	16.06472709
204	16.00021575
205	15.9638694
206	15.90933004
207	15.8543723
208	15.8156408
209	15.75823146
210	15.72423662
211	15.70305774
212	15.69885979
213	15.65994054
214	15.62463386
215	15.57371507
216	15.53444146
217	15.48848352
218	15.43137802
219	15.4244887
220	15.39488409
221	15.35554362
222	15.3120948
223	15.24710424
224	15.23107502
225	15.20969828
226	15.17420242
227	15.1477912
228	15.13021676
229	15.0888802
230	15.04700068
231	14.99526313
232	14.96395817
233	14.92851637
234	14.91760096
235	14.88800554
236	14.85994955
237	14.83170473
238	14.82082203
239	14.8155477
240	14.7967562
241	14.77336216
242	14.76745753
243	14.73494131
244	14.71787322
245	14.6793212
246	14.67035884
247	14.65774565
248	14.62041596
249	14.58696975
250	14.55589087
251	14.52325191
252	14.51552864
253	14.49122863
254	14.47692945
255	14.41709754
256	14.40471986
257	14.37609732
258	14.36718452
259	14.3616039
260	14.33767373
261	14.30540312
262	14.29218608
263	14.26741625
264	14.22782516
265	14.22463133
266	14.20288595
267	14.19609772
268	14.18123362
269	14.17279159
270	14.14292994
271	14.09642199
272	14.0584906
273	14.02613719
274	14.00701913
275	13.98855463
276	13.94843432
277	13.9356245
278	13.92945107
279	13.91106602
280	13.88765705
281	13.87391287
282	13.85614616
283	13.83249814
284	13.79829674
285	13.77456815
286	13.73084652
287	13.72262299
288	13.70678376
289	13.66520365
290	13.64880873
291	13.63970136
292	13.60163292
293	13.57568576
294	13.52368791
295	13.50662481
296	13.46853676
297	13.44322652
298	13.41374175
299	13.40802449
300	13.4024589
301	13.37689846
302	13.33131173
303	13.31146452
304	13.30151844
305	13.27970005
306	13.25483445
307	13.23511832
308	13.19532939
309	13.16898496
310	13.15271343
311	13.13425308
312	13.1297911
313	13.10168236
314	13.08086088
315	13.06413406
316	13.05995762
317	13.03250026
318	13.00008255
319	12.98401235
320	12.95338385
