iter	Passed	Remaining
0	22	22923
1	44	22099
2	66	22123
3	88	22153
4	115	22999
5	138	22872
6	159	22621
7	181	22452
8	202	22338
9	223	22146
10	245	22051
11	267	22028
12	288	21917
13	310	21836
14	335	22001
15	357	22016
16	383	22174
17	405	22142
18	429	22199
19	453	22215
20	476	22193
21	499	22199
22	522	22174
23	544	22137
24	566	22077
25	587	22011
26	608	21940
27	633	21991
28	654	21927
29	675	21856
30	697	21807
31	718	21749
32	744	21809
33	766	21771
34	788	21737
35	809	21679
36	831	21635
37	853	21605
38	874	21550
39	895	21490
40	916	21436
41	938	21396
42	959	21350
43	980	21312
44	1002	21267
45	1023	21225
46	1045	21194
47	1067	21165
48	1088	21129
49	1112	21128
50	1135	21126
51	1156	21087
52	1179	21068
53	1200	21028
54	1222	21000
55	1244	20978
56	1267	20962
57	1288	20926
58	1310	20897
59	1333	20892
60	1355	20859
61	1377	20842
62	1400	20823
63	1421	20795
64	1452	20892
65	1474	20861
66	1495	20830
67	1517	20795
68	1539	20767
69	1560	20732
70	1581	20693
71	1603	20665
72	1633	20749
73	1654	20709
74	1676	20678
75	1698	20651
76	1727	20712
77	1752	20714
78	1776	20716
79	1799	20691
80	1819	20647
81	1841	20610
82	1862	20577
83	1885	20561
84	1908	20548
85	1930	20517
86	1952	20491
87	1981	20531
88	2006	20533
89	2029	20523
90	2060	20586
91	2087	20605
92	2119	20666
93	2152	20746
94	2177	20741
95	2199	20708
96	2219	20665
97	2240	20623
98	2261	20578
99	2282	20539
100	2304	20508
101	2325	20469
102	2346	20435
103	2368	20403
104	2390	20378
105	2412	20349
106	2434	20316
107	2455	20279
108	2477	20249
109	2498	20218
110	2521	20196
111	2545	20184
112	2569	20167
113	2590	20137
114	2620	20165
115	2643	20145
116	2665	20113
117	2685	20075
118	2710	20063
119	2737	20073
120	2761	20059
121	2783	20031
122	2804	19996
123	2826	19967
124	2847	19934
125	2868	19896
126	2889	19859
127	2910	19828
128	2945	19887
129	2968	19864
130	2990	19837
131	3013	19816
